user_id,master_id,rating
newman58,544297,3
newman58,944432,3
newman58,359744,3
newman58,457298,3
newman58,810914,3
newman58,380938,2
newman58,1544321,2
newman58,142156,2
newman58,1232997,2
newman58,1335980,2
newman58,499964,2
newman58,1034156,2
newman58,1515738,2
newman58,830458,1
newman58,1109627,1
TopCats45s,1288935,5
TopCats45s,1263041,5
TopCats45s,1295411,5
Diognes_The_Fox,81214,5
Diognes_The_Fox,27566,5
Diognes_The_Fox,79646,5
Diognes_The_Fox,73532,5
Diognes_The_Fox,48472,5
Diognes_The_Fox,435403,5
Diognes_The_Fox,114413,5
Diognes_The_Fox,556778,5
Diognes_The_Fox,560161,5
Diognes_The_Fox,560161,5
Diognes_The_Fox,560161,5
Diognes_The_Fox,81214,5
Diognes_The_Fox,27566,5
Diognes_The_Fox,79646,5
Diognes_The_Fox,73532,5
Diognes_The_Fox,48472,5
Diognes_The_Fox,435403,5
Diognes_The_Fox,114413,5
Diognes_The_Fox,556778,5
Diognes_The_Fox,560161,5
Diognes_The_Fox,560161,5
Diognes_The_Fox,560161,5
Diognes_The_Fox,113243,5
Diognes_The_Fox,152261,5
Diognes_The_Fox,29171,5
Diognes_The_Fox,938343,5
Diognes_The_Fox,276524,5
Diognes_The_Fox,30231,5
Diognes_The_Fox,298924,5
Diognes_The_Fox,63446,5
Diognes_The_Fox,176070,5
Diognes_The_Fox,176823,5
Diognes_The_Fox,418131,4
Diognes_The_Fox,1152714,4
Diognes_The_Fox,60977,4
Diognes_The_Fox,71642,4
Diognes_The_Fox,1035045,4
gogobonobo,716627,5
gogobonobo,621396,5
gogobonobo,890425,5
gogobonobo,369155,5
gogobonobo,379706,4
gogobonobo,750121,4
gogobonobo,384683,4
gogobonobo,227076,4
gogobonobo,494778,4
gogobonobo,494778,4
gogobonobo,641178,4
gogobonobo,101972,4
gogobonobo,424574,4
gogobonobo,507331,4
gogobonobo,507331,4
gogobonobo,507331,4
gogobonobo,99902,3
gogobonobo,1249321,2
typoman2,44541,5
typoman2,189298,5
typoman2,44541,5
typoman2,189298,5
typoman2,13838,4
typoman2,466473,4
typoman2,160319,4
stevefreeman,339631,5
stevefreeman,339643,5
stevefreeman,339631,5
stevefreeman,339643,5
Bradx,11397,5
Bradx,22168,5
Bradx,11397,5
Bradx,22168,5
Bradx,726030,5
Bradx,726030,5
Bradx,726029,5
Bradx,425715,5
Bradx,166931,5
Bradx,54858,5
Bradx,1285800,5
Bradx,296571,5
Bradx,368825,5
Bradx,117389,5
Bradx,117389,5
Bradx,830991,5
Bradx,67453,5
Bradx,27541,5
Bradx,426643,5
Bradx,230855,5
Bradx,12214,5
Bradx,530615,5
Bradx,90215,5
Bradx,60289,5
Bradx,162790,5
Bradx,162790,5
Bradx,223802,5
Bradx,76952,5
Bradx,30783,5
Bradx,136950,5
Bradx,28027,5
Bradx,6116,5
Bradx,96794,5
Bradx,416309,5
Bradx,583469,5
Bradx,932565,5
Bradx,373907,5
Bradx,426453,5
Bradx,139466,5
Bradx,214273,5
Bradx,536140,5
Bradx,94804,5
Bradx,23336,5
Bradx,440730,5
Bradx,74324,5
Bradx,6424,5
Bradx,936516,5
Bradx,580473,5
Bradx,122876,5
Bradx,234593,5
Bradx,70096,5
Bradx,746798,5
Bradx,32706,5
Bradx,20240,5
Bradx,385842,5
Bradx,249712,5
Bradx,826783,5
Bradx,1104620,5
Bradx,70575,5
